speedinterval,approach,counts,LocationId,LocationName
00-04 mph,EB,1350.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,NB,79.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,WB,925.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,EB,6705.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,NB,1330.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,WB,3388.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,EB,17057.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,NB,19012.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,WB,19441.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,EB,29550.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,NB,25488.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,WB,47607.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,EB,30668.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,NB,5629.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,WB,23852.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,EB,9816.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,NB,1137.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,WB,6331.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,SB,19270.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
05-09 mph,SB,33657.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
10-14 mph,SB,48702.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
15-19 mph,SB,17118.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
20-24 mph,SB,1179.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
25+ mph,SB,51.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
00-04 mph,NB,1615.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
05-09 mph,NB,1640.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
10-14 mph,NB,3541.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
15-19 mph,NB,3081.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
20-24 mph,NB,8101.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
25+ mph,NB,31140.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
00-04 mph,EB,27.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
05-09 mph,EB,16.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
05-09 mph,WB,13.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
10-14 mph,EB,29.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
10-14 mph,WB,54.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
15-19 mph,EB,61.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
15-19 mph,WB,69.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
20-24 mph,EB,101.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
20-24 mph,WB,143.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
25+ mph,EB,4065.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
25+ mph,WB,23407.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
00-04 mph,SB,2346.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
00-04 mph,WB,1699.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
05-09 mph,SB,23158.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
05-09 mph,WB,17706.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
10-14 mph,SB,51343.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
10-14 mph,WB,73502.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
15-19 mph,SB,14157.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
15-19 mph,WB,93977.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
20-24 mph,SB,3713.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
20-24 mph,WB,22923.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
25+ mph,SB,10223.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
25+ mph,WB,32450.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
00-04 mph,NB,31.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
05-09 mph,NB,544.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
10-14 mph,NB,6162.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
15-19 mph,NB,17193.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
20-24 mph,NB,58044.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
25+ mph,NB,143016.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
00-04 mph,WB,21.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,EB,9.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,WB,87.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
10-14 mph,EB,23.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
10-14 mph,WB,166.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
15-19 mph,EB,74.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
15-19 mph,WB,805.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
20-24 mph,EB,426.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
20-24 mph,WB,3160.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
25+ mph,EB,124302.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
25+ mph,WB,136149.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
00-04 mph,EB,3207.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,NB,44.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,WB,612.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,EB,11558.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,NB,880.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,WB,3466.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,EB,24178.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,NB,19171.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,WB,19909.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,EB,40310.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,NB,28703.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,WB,41746.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,EB,32263.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,NB,6838.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,WB,18219.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,EB,11546.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,NB,2291.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,WB,8051.000000000000000,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,SB,23466.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
05-09 mph,SB,38709.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
10-14 mph,SB,54534.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
15-19 mph,SB,15785.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
20-24 mph,SB,1178.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
25+ mph,SB,85.000000000000000,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
00-04 mph,NB,246.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
05-09 mph,NB,631.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
10-14 mph,NB,1711.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
15-19 mph,NB,1862.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
20-24 mph,NB,4292.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
25+ mph,NB,16688.000000000000000,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
00-04 mph,EB,15.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
00-04 mph,WB,2.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
05-09 mph,EB,18.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
05-09 mph,WB,5.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
10-14 mph,EB,16.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
10-14 mph,WB,7.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
15-19 mph,EB,17.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
15-19 mph,WB,10.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
20-24 mph,EB,11.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
20-24 mph,WB,12.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
25+ mph,EB,4363.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
25+ mph,WB,23830.000000000000000,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
00-04 mph,SB,2518.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
00-04 mph,WB,3998.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
05-09 mph,SB,27565.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
05-09 mph,WB,25744.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
10-14 mph,SB,93079.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
10-14 mph,WB,110222.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
15-19 mph,SB,35291.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
15-19 mph,WB,151602.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
20-24 mph,SB,8834.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
20-24 mph,WB,32961.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
25+ mph,SB,18157.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
25+ mph,WB,40612.000000000000000,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
00-04 mph,NB,23.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
05-09 mph,NB,152.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
10-14 mph,NB,1724.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
15-19 mph,NB,6894.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
20-24 mph,NB,33383.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
25+ mph,NB,113957.000000000000000,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
00-04 mph,EB,18.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
00-04 mph,WB,321.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,EB,93.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,WB,637.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
10-14 mph,EB,76.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
10-14 mph,WB,1219.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
15-19 mph,EB,174.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
15-19 mph,WB,2297.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
20-24 mph,EB,408.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
20-24 mph,WB,4683.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
25+ mph,EB,192057.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
25+ mph,WB,200296.000000000000000,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
00-04 mph,EB,2455.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
00-04 mph,WB,3.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
05-09 mph,EB,9259.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
05-09 mph,WB,93.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
10-14 mph,EB,14790.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
10-14 mph,WB,478.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
15-19 mph,EB,13721.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
15-19 mph,WB,11506.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
20-24 mph,EB,11775.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
20-24 mph,WB,28409.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
25+ mph,EB,899.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
25+ mph,WB,32422.000000000000000,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
00-04 mph,EB,946.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
00-04 mph,WB,403.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
05-09 mph,EB,4524.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
05-09 mph,WB,554.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
10-14 mph,EB,12456.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
10-14 mph,WB,644.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
15-19 mph,EB,15417.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
15-19 mph,WB,1108.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
20-24 mph,EB,18381.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
20-24 mph,WB,7973.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
25+ mph,EB,17246.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
25+ mph,WB,86328.000000000000000,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
00-04 mph,EB,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,NB,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,WB,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
