"","TAZ","emp_other","emp_rec","emp_retail","emp_srvc","emp_gaming"
"1",9,72.6666666666667,55.5,13.3333333333333,454.333333333333,NA
"2",10,157,23,119.166666666667,833.666666666667,NA
"3",11,90,4.5,74,256.166666666667,NA
"4",12,23.3333333333333,7.33333333333333,NA,139,NA
"5",13,40.3333333333333,3,80.6666666666667,87.3333333333333,NA
"6",14,18,NA,NA,24,NA
"7",15,102.666666666667,NA,NA,NA,NA
"8",17,NA,449.666666666667,6.66666666666667,126.333333333333,NA
"9",18,71.3333333333333,157,52.3333333333333,357,NA
"10",19,62.8333333333333,57.3333333333333,30.3333333333333,179.666666666667,NA
"11",20,236,16,NA,123.666666666667,NA
"12",21,3,NA,NA,8.66666666666667,NA
"13",23,19,NA,NA,1.66666666666667,NA
"14",24,57.6666666666667,5.66666666666667,12,87,NA
"15",25,2.66666666666667,NA,NA,4,NA
"16",26,63.3333333333333,NA,NA,NA,NA
"17",27,211,NA,NA,NA,NA
"18",28,108.666666666667,NA,65.3333333333333,NA,NA
"19",30,8,NA,NA,NA,NA
"20",31,383,NA,NA,NA,NA
"21",33,4.66666666666667,NA,NA,NA,NA
"22",37,6,NA,NA,14,NA
"23",38,53,12.6666666666667,7.33333333333333,144.166666666667,NA
"24",39,103.666666666667,NA,3,22,NA
"25",40,16.3333333333333,5.66666666666667,15.3333333333333,43,NA
"26",41,54.6666666666667,NA,25.6666666666667,58.6666666666667,NA
"27",42,63.3333333333333,1,26.3333333333333,62.3333333333333,NA
"28",43,64,4,13.5,92.6666666666667,NA
"29",44,67.3333333333333,43.8333333333333,1,1,NA
"30",45,4.33333333333333,NA,NA,NA,NA
"31",46,9,9.66666666666667,NA,12.5,NA
"32",47,101,NA,NA,2.66666666666667,NA
"33",48,30.6666666666667,NA,29.3333333333333,25.6666666666667,NA
"34",49,176.666666666667,NA,4.66666666666667,77.3333333333333,NA
"35",50,339.666666666667,4,145.333333333333,30.3333333333333,NA
"36",51,2,NA,1,NA,NA
"37",52,11.3333333333333,NA,NA,NA,NA
"38",53,78.3333333333333,NA,1,NA,NA
"39",54,30.6666666666667,NA,NA,10.6666666666667,NA
"40",56,38.1666666666667,NA,9.66666666666667,27.3333333333333,NA
"41",57,59,NA,83,NA,NA
"42",58,298.666666666667,NA,191.666666666667,96.6666666666667,NA
"43",59,47,NA,NA,32.3333333333333,NA
"44",60,62.5,1.66666666666667,NA,33,NA
"45",61,101.333333333333,NA,174,181.333333333333,NA
"46",62,958.166666666667,NA,NA,2.33333333333333,NA
"47",65,60.6666666666667,NA,NA,NA,NA
"48",66,8,NA,NA,NA,NA
"49",67,24.6666666666667,NA,2,NA,NA
"50",68,9.66666666666667,NA,NA,NA,NA
"51",69,2,1,NA,NA,NA
"52",70,24.3333333333333,NA,NA,NA,NA
"53",71,6,NA,NA,NA,NA
"54",75,28.3333333333333,6,7.33333333333333,NA,NA
"55",76,7,NA,NA,NA,NA
"56",78,6.66666666666667,NA,NA,12,NA
"57",79,46.5,NA,NA,NA,NA
"58",80,532.5,149,19.3333333333333,50,NA
"59",81,22,NA,NA,9,NA
"60",82,2,NA,1,NA,NA
"61",83,10.3333333333333,NA,NA,NA,NA
"62",85,18.6666666666667,18.1666666666667,NA,41,NA
"63",86,8.33333333333333,NA,NA,NA,NA
"64",88,20.3333333333333,NA,NA,NA,NA
"65",90,3,NA,NA,NA,NA
"66",91,4,NA,1,NA,NA
"67",92,12.3333333333333,NA,NA,NA,NA
"68",94,3,NA,NA,NA,NA
"69",95,55.8333333333333,NA,NA,NA,NA
"70",96,51,NA,6.66666666666667,40,NA
"71",97,32.6666666666667,NA,2.5,14.6666666666667,NA
"72",98,7.33333333333333,15.6666666666667,NA,NA,NA
"73",100,10,NA,NA,NA,NA
"74",102,15.6666666666667,NA,NA,NA,NA
"75",103,35.6666666666667,20.6666666666667,14.3333333333333,228,NA
"76",124,22,NA,NA,NA,NA
"77",128,60.3333333333333,NA,NA,19.1666666666667,NA
"78",129,4.83333333333333,NA,NA,NA,NA
"79",130,21.5,NA,NA,NA,NA
"80",132,6.33333333333333,NA,NA,15,NA
"81",134,40,NA,NA,NA,NA
"82",136,4.33333333333333,11,NA,49.3333333333333,NA
"83",139,39.6666666666667,148.333333333333,29,NA,NA
"84",141,22.3333333333333,NA,NA,NA,NA
"85",144,13.3333333333333,NA,NA,NA,NA
"86",147,12,NA,NA,NA,NA
"87",148,14.3333333333333,NA,NA,NA,NA
"88",149,51.3333333333333,18.3333333333333,36.6666666666667,258.333333333333,NA
"89",151,22.6666666666667,NA,NA,NA,NA
"90",153,39,1,NA,106,NA
"91",154,271.833333333333,9.66666666666667,26,33.6666666666667,NA
"92",155,162.333333333333,78.3333333333333,118.333333333333,151.666666666667,NA
"93",156,64.3333333333333,1.33333333333333,293.333333333333,NA,NA
"94",157,150,60.3333333333333,149.666666666667,323.666666666667,NA
"95",160,150.666666666667,19,20.6666666666667,10,NA
"96",162,73,1,3,9.33333333333333,NA
"97",166,274.333333333333,NA,4,16,NA
"98",167,2.33333333333333,NA,1,NA,NA
"99",168,19,NA,NA,NA,NA
"100",169,3.33333333333333,NA,3.33333333333333,NA,NA
"101",170,5,1,NA,NA,NA
"102",171,146.666666666667,NA,NA,NA,NA
"103",173,19.6666666666667,NA,NA,5,NA
"104",174,160.5,NA,NA,NA,NA
"105",176,5,33.3333333333333,NA,129.666666666667,NA
"106",177,29,2.5,5.33333333333333,36.6666666666667,NA
"107",178,33,NA,NA,NA,NA
"108",180,13,NA,1,NA,NA
"109",181,207,53,27,41.3333333333333,NA
"110",182,25,NA,NA,NA,NA
"111",183,6.33333333333333,NA,NA,NA,NA
"112",186,13.3333333333333,NA,NA,NA,NA
"113",188,13.3333333333333,NA,NA,NA,NA
"114",190,463.5,33,97.5,372,NA
"115",191,14.6666666666667,NA,NA,NA,NA
"116",192,8,NA,NA,NA,NA
"117",243,0,0,0,0,0
"118",244,0,0,0,0,0
"119",242,5.45097654333104,0,0,0,0
"120",241,0,0,0,0,0
"121",239,0,0,0,0,0
"122",238,4.36078123466483,2.18039061733242,1.09019530866621,1.09019530866621,0
"123",237,0,1.09019530866621,0,1.09019530866621,0
"124",234,0,0,0,0,0
"125",228,0,1.09019530866621,1.09019530866621,0,0
"126",230,0,3.27058592599863,0,5.45097654333104,0
"127",227,40.3372264206497,16.3529296299931,0,22.8941014819904,0
"128",225,14.1725390126607,0,6.54117185199725,9.81175777799588,0
"129",226,0,0,0,0,0
"130",224,20.713710864658,35.9764451859849,2.18039061733242,322.697811365198,0
"131",220,1.09019530866621,1.09019530866621,1.09019530866621,1.09019530866621,0
"132",223,16.3529296299931,7.63136716066346,27.2548827166552,23.9842967906566,0
"133",219,20.713710864658,0,0,7.63136716066346,0
"134",222,26.164687407989,6.54117185199725,117.741093335951,34.8862498773187,0
"135",214,0,0,0,0,0
"136",215,1.09019530866621,0,43.6078123466484,2.18039061733242,0
"137",217,92.6666012366277,0,22.8941014819904,52.329374815978,0
"138",218,0,0,0,6.54117185199725,0
"139",221,11.9921483953283,0,0,32.7058592599863,0
"140",213,236.572381980567,2.18039061733242,90.4862106192953,153.717538521935,0
"141",211,27.2548827166552,0,3.27058592599863,2.18039061733242,0
"142",210,1.09019530866621,0,0,1.09019530866621,0
"143",201,0,75.2234762979684,6.54117185199725,0,0
"144",206,4.36078123466483,0,5.45097654333104,6.54117185199725,73.043085680636
"145",205,366.305623711846,7.63136716066346,0,42.5176170379821,0
"146",208,0,0,0,0,0
"147",212,78.494062223967,4.36078123466483,28.3450780253214,43.6078123466484,0
"148",204,27.2548827166552,0,152.627343213269,0,0
"149",203,0,0,0,0,0
"150",200,49.0587888899794,0,8.72156246932967,27.2548827166552,1912.20257140053
"151",202,33.7960545686525,0,335.780155069192,19.6235155559918,1985.24565708117
"152",207,0,0,0,0,0
"153",250,0,0,0,0,0
"154",251,0,0,0,0,0
"155",247,0,0,0,0,0
"156",249,0,0,0,0,0
"157",245,0,0,0,0,0
"158",248,0,0,0,0,0
"159",246,0,0,0,0,0
"160",286,26.164687407989,0,1.09019530866621,6.54117185199725,0
"161",285,0,0,0,0,0
"162",269,5.45097654333104,0,3.27058592599863,0,0
"163",287,16.3529296299931,0,0,16.3529296299931,0
"164",291,47.9685935813132,0,3.27058592599863,15.2627343213269,0
"165",268,15.2627343213269,6.54117185199725,5.45097654333104,5.45097654333104,0
"166",292,0,0,0,0,0
"167",270,14.1725390126607,0,4.36078123466483,9.81175777799588,0
"168",274,3.27058592599863,10.9019530866621,2.18039061733242,55.5999607419766,0
"169",293,17.4431249386593,0,0,8.72156246932967,0
"170",283,11.9921483953283,0,1.09019530866621,2.18039061733242,0
"171",273,13.0823437039945,0,3.27058592599863,29.4352733339876,0
"172",282,16.3529296299931,0,0,59.9607419766415,0
"173",284,53.4195701246442,34.8862498773187,13.0823437039945,16.3529296299931,0
"174",266,0,0,0,91.5764059279615,0
"175",290,29.4352733339876,7.63136716066346,13.0823437039945,4.36078123466483,0
"176",271,0,29.4352733339876,0,0,0
"177",272,25.0744920993228,32.7058592599863,163.529296299931,31.6156639513201,0
"178",281,2.18039061733242,1.09019530866621,13.0823437039945,17.4431249386593,0
"179",280,4.36078123466483,0,117.741093335951,94.8469918539602,0
"180",289,1.09019530866621,0,11.9921483953283,0,0
"181",277,45.7882029639808,1.09019530866621,73.043085680636,58.8705466679753,0
"182",294,3.27058592599863,0,0,3.27058592599863,0
"183",278,43.6078123466484,0,30.5254686426538,49.0587888899794,0
"184",288,0,0,0,0,0
"185",267,15.2627343213269,9.81175777799588,29.4352733339876,3.27058592599863,0
"186",279,138.454804200609,10.9019530866621,91.5764059279615,123.192069879282,0
"187",265,499.309451369124,2.18039061733242,115.560702718618,137.364608891942,0
"188",262,15.2627343213269,327.058592599863,0,0,0
"189",276,41.4274217293159,0,13.0823437039945,15.2627343213269,0
"190",275,0,0,0,0,0
"191",264,23.9842967906566,13.0823437039945,3.27058592599863,25.0744920993228,428.44675630582
"192",261,102.478359014624,0,83.9450387672981,26.164687407989,0
"193",263,0,0,0,0,0
"194",260,1.09019530866621,0,0,2.18039061733242,0
"195",295,179.882225929924,0,0,0,0
"196",259,0,0,0,0,0
"197",297,0,0,0,0,0
"198",257,0,0,0,0,0
"199",256,0,0,0,0,0
"200",255,21.8039061733242,10.9019530866621,3.27058592599863,3.27058592599863,0
"201",253,0,0,0,0,0
"202",254,0,0,0,0,0
"203",252,0,0,0,0,0
"204",235,1.09019530866621,0,0,0,0
"205",236,11.9921483953283,0,0,0,0
"206",240,7.63136716066346,0,0,7.63136716066346,0
"207",233,0,0,0,0,0
"208",232,0,0,0,0,0
"209",229,25.0744920993228,0,4.36078123466483,11.9921483953283,0
"210",216,7.63136716066346,0,0,4.36078123466483,0
"211",209,4.36078123466483,10.9019530866621,0,2.18039061733242,0
"212",296,1.09019530866621,0,1.09019530866621,3.27058592599863,28.3450780253214
"213",258,0,0,0,0,0
"214",231,8.72156246932967,0,1.09019530866621,1.09019530866621,0
