APN,BATHROOMS,BEDROOMS,COUNTY_x,COUNTY_LANDUSE_DESCRIPTION_x,EXISTING_LANDUSE_x,JURISDICTION_x,LOCATION_TO_TOWNCENTER_x,Max_Occupancy,OWNERSHIP_TYPE_x,REGIONAL_LANDUSE_x,Rental_Type,WITHIN_BONUSUNIT_BNDY_x,WITHIN_TRPA_BNDY_x,YEAR_BUILT_x,ZONING_DESCRIPTION_x,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,YEAR
1319-30-523-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-520-028,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,1982,Tahoe Village,0,0,0,2022
1319-30-518-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-516-043,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-718-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-716-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-716-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-715-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-714-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-714-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1987,,0,0,0,2022
1319-30-635-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-635-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-636-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-636-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-633-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-024,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-011,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-530-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-530-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-530-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-530-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-529-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-524-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-520-007,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1982,Tahoe Village,0,0,0,2022
1319-30-517-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-516-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1973,,0,0,0,2022
1319-30-516-029,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1973,,0,0,0,2022
1319-30-516-031,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1973,,0,0,0,2022
1319-30-516-036,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,10,Private,,VHR,0,0,1977,,0,0,0,2022
1319-30-627-019,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-627-013,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-712-007,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-719-009,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-30-719-007,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-30-719-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-19-720-017,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1982,,0,0,0,2022
1319-19-720-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1982,,0,0,0,2022
1319-19-720-008,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1978,,0,0,0,2022
1319-19-213-003,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1969,Upper Kingsbury,0,0,0,2022
1319-19-718-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1979,,0,0,0,2022
1319-19-710-027,0,0,DG,Duplex,Multi-Family Residential,DG,,8,Private,,VHR,0,1,1973,,0,0,0,2022
1319-19-710-027,0,0,DG,Duplex,Multi-Family Residential,DG,,8,Private,,VHR,0,1,1973,,0,0,0,2022
1319-19-611-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1977,,0,0,0,2022
1319-19-611-012,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1977,,0,0,0,2022
1319-19-611-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1977,,0,0,0,2022
1319-19-611-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1977,,0,0,0,2022
1319-19-612-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1977,,0,0,0,2022
1319-30-529-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1974,,0,0,0,2022
1318-23-315-042,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,2020,Lake Village Special Area #1,0,0,0,2022
1319-30-516-048,N/A,N/A,DG,Single Family Residence,Single Family Residential,DG,,9,Private,,VHR,0,0,1978,,0,0,0,2022
1319-30-619-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-19-802-012,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1976,,0,0,0,2022
1319-19-810-016,0,0,DG,Single Family Residence,Single Family Residential,DG,Outside Buffer,10,Private,Residential,VHR,1,1,2008,Upper Kingsbury,0,0,0,2022
1318-22-311-017,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,10,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
1318-22-311-019,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
1318-22-312-002,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
1318-22-312-003,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2020,Oliver Park,0,0,0,2022
1318-22-312-005,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
1318-22-312-006,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
1318-22-312-007,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
1318-22-312-013,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
1318-22-312-016,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,2019,Oliver Park,0,0,0,2022
015-062-013,N/A,3,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,8,Private,Residential,VHR,1,1,2008,Tahoma Residential,0,0,0,2022
028-320-004,N/A,6,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,CSLT,Outside Buffer,6,Private,Residential,Hosted Rental,1,1,1980,Lakeview Heights,0,0,0,2022
026-073-026,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,CSLT,Quarter Mile Buffer,6,Private,Residential,Hosted Rental,1,1,2019,Al Tahoe Special Area #1,0,0,0,2022
025-432-020,N/A,5,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,12,Private,Residential,VHR,0,1,2018,Montgomery Estates,0,0,0,2022
025-721-009,N/A,5,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,12,Private,Residential,VHR,0,1,2021,Montgomery Estates,0,0,0,2022
025-803-009,N/A,5,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,12,Private,Residential,VHR,0,1,2018,Montgomery Estates,0,0,0,2022
080-163-011,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2020,Golden Bear,0,0,0,2022
025-831-032,N/A,6,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,14,Private,Residential,VHR,0,1,2020,Montgomery Estates,0,0,0,2022
025-821-017,N/A,5,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,12,Private,Residential,VHR,0,1,2018,Montgomery Estates,0,0,0,2022
033-854-006,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2017,Tahoe Paradise Washoan,0,0,0,2022
033-684-002,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2008,Tahoe Paradise Washoan,0,0,0,2022
033-678-013,N/A,6,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,14,Private,Residential,VHR,0,1,2020,Tahoe Paradise Washoan,0,0,0,2022
081-042-001,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2019,Tahoe Paradise Meadowvale,0,0,0,2022
033-302-003,N/A,3,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,8,Private,Residential,VHR,0,1,2018,Tahoe Paradise Meadowvale,0,0,0,2022
081-072-009,N/A,3,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,8,Private,Residential,VHR,0,1,2020,Tahoe Paradise Meadowvale,0,0,0,2022
033-372-003,N/A,5,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,12,Private,Residential,VHR,0,1,2011,Tahoe Paradise - Upper Truckee,0,0,0,2022
081-091-011,N/A,4,EL,VAC RES VACANT RES. LAND <=2.5 AC. 1-3 UNITS,Vacant,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2018,Tahoe Paradise Meadowvale,0,0,0,2022
033-422-029,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2019,Tahoe Paradise - Upper Truckee,0,0,0,2022
034-772-001,N/A,3,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,8,Private,Residential,VHR,1,1,2019,Tahoe Paradise Meadowvale,0,0,0,2022
034-254-014,N/A,3,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Quarter Mile Buffer,8,Private,Residential,VHR,1,1,2017,Meyers Residential,0,0,0,2022
034-266-007,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Quarter Mile Buffer,10,Private,Residential,VHR,1,1,2018,Meyers Residential,0,0,0,2022
034-382-006,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Quarter Mile Buffer,9,Private,Residential,VHR,1,1,2019,Meyers Residential,0,0,0,2022
034-112-017,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Quarter Mile Buffer,10,Private,Residential,VHR,1,1,2018,Tahoe Paradise - Mandan,0,0,0,2022
034-334-004,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Quarter Mile Buffer,10,Private,Residential,VHR,1,1,2015,Tahoe Paradise - Mandan,0,0,0,2022
035-245-011,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2007,Christmas Valley,0,0,0,2022
025-312-021,N/A,4,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,10,Private,Residential,VHR,0,1,2019,Black Bart,0,0,0,2022
022-343-027,N/A,5,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,CSLT,Outside Buffer,,Private,Residential,VHR,0,1,2019,Tahoe Keys,0,0,0,2022
026-139-045,N/A,2,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,CSLT,Quarter Mile Buffer,,Private,Residential,VHR,1,1,2019,Al Tahoe,0,0,0,2022
026-139-045,N/A,2,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,CSLT,Quarter Mile Buffer,4,Private,Residential,Hosted Rental,1,1,2019,Al Tahoe,0,0,0,2022
080-162-021,N/A,0,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,8,Private,Residential,VHR,0,1,1980,Golden Bear,0,0,0,2022
015-351-016,N/A,2,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,EL,Outside Buffer,6,Private,Residential,VHR,1,1,1965,Tahoma Residential,0,0,0,2022
025-701-030,N/A,3,EL,DEV RES SINGLE FAM. RES. <=2.5 AC.(INC. MAN. HMS,Single Family Residential,CSLT,Outside Buffer,4,Private,Residential,Hosted Rental,1,1,1964,Bijou,0,0,0,2022
094-490-018,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Residential,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Residential - Lake Forest,0,0,0,2022
094-490-051,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Residential,VHR,1,1,1973,Placer County Tahoe Basin Area Plan - Residential - Lake Forest,0,0,0,2022
094-490-054,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Residential,VHR,1,1,1985,Placer County Tahoe Basin Area Plan - Residential - Lake Forest,0,0,0,2022
094-480-020,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Residential,VHR,1,1,1973,Placer County Tahoe Basin Area Plan - Residential - Lake Forest,0,0,0,2022
117-080-013,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-020,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-005,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-019,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-004,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-220-038,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Town Center,,Private,Mixed-Use,VHR,1,1,1980,Placer County Tahoe Basin Area Plan - Mixed-Use Residential,0,0,0,2022
117-080-018,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-014,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-015,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-033,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-035,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-037,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-060,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-058,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-041,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-057,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
117-080-054,N/A,N/A,PL,"SINGLE FAM RES, CONDO",Condominium,PL,Outside Buffer,,Private,Tourist,VHR,1,1,1979,Placer County Tahoe Basin Area Plan - Mixed-Use Community Center West,0,0,0,2022
