TAZ,block_group_id,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion
140,60610223002.0,5,0,0,5,0,0,1.0,nan,nan
141,60610223001.0,333,9,0,333,9,0,1.0,1.0,nan
142,60610221002.0,1,0,0,87,0,0,0.011494252873563218,nan,nan
142,60610223001.0,86,0,0,87,0,0,0.9885057471264368,nan,nan
143,60610221002.0,115,0,0,116,0,0,0.9913793103448276,nan,nan
143,60610223001.0,1,0,0,116,0,0,0.008620689655172414,nan,nan
144,60610221002.0,193,0,0,193,0,0,1.0,nan,nan
145,60610221001.0,0,0,0,0,0,0,nan,nan,nan
145,60610221002.0,0,0,0,0,0,0,nan,nan,nan
146,60610221002.0,0,0,0,0,0,0,nan,nan,nan
147,60610221002.0,95,0,0,95,0,0,1.0,nan,nan
148,60610221001.0,356,0,0,356,0,0,1.0,nan,nan
148,60610221002.0,0,0,0,356,0,0,0.0,nan,nan
149,60610221001.0,606,45,18969,609,45,18969,0.9950738916256158,1.0,1.0
149,60610221002.0,3,0,0,609,45,18969,0.0049261083743842365,0.0,0.0
149,60610222002.0,0,0,0,609,45,18969,0.0,0.0,0.0
150,60610221001.0,0,0,0,0,0,0,nan,nan,nan
151,60610221001.0,1,0,0,307,0,0,0.003257328990228013,nan,nan
151,60610222001.0,135,0,0,307,0,0,0.43973941368078173,nan,nan
151,60610222002.0,171,0,0,307,0,0,0.5570032573289903,nan,nan
152,60610222002.0,49,165,45196,49,165,45196,1.0,1.0,1.0
153,60610222001.0,52,0,10943,211,0,35695,0.24644549763033174,nan,0.30656954755568006
153,60610222002.0,159,0,24752,211,0,35695,0.7535545023696683,nan,0.6934304524443199
154,60610222001.0,273,0,11326,273,0,11326,1.0,nan,1.0
155,60610222001.0,31,0,35156,32,46,151234,0.96875,0.0,0.2324609545472579
155,60610222002.0,1,46,116078,32,46,151234,0.03125,1.0,0.7675390454527421
156,60610222001.0,5,0,0,5,0,0,1.0,nan,nan
157,60610222001.0,3,33,139762,24,93,188314,0.125,0.3548387096774194,0.7421753029514534
157,60610222002.0,21,60,48552,24,93,188314,0.875,0.6451612903225806,0.2578246970485466
158,60610222002.0,1,0,4540,1,0,4540,1.0,nan,1.0
159,60610222001.0,0,0,0,1,24,23668,0.0,0.0,0.0
159,60610222002.0,1,24,23668,1,24,23668,1.0,1.0,1.0
160,60610201042.0,23,0,0,234,0,12955,0.09829059829059829,nan,0.0
160,60610201043.0,9,0,10472,234,0,12955,0.038461538461538464,nan,0.8083365495947511
160,60610222002.0,202,0,2483,234,0,12955,0.8632478632478633,nan,0.19166345040524893
161,60610221002.0,0,0,0,7,0,0,0.0,nan,nan
161,60610222002.0,7,0,0,7,0,0,1.0,nan,nan
162,60610222001.0,3,0,11498,12,0,58203,0.25,nan,0.19754995446970086
162,60610222002.0,9,0,46705,12,0,58203,0.75,nan,0.8024500455302991
164,60610201042.0,60,0,0,60,0,0,1.0,nan,nan
165,60610201042.0,0,0,0,0,0,0,nan,nan,nan
166,60610201041.0,65,0,11852,690,0,131020,0.09420289855072464,nan,0.09045947183636086
166,60610201042.0,438,0,113693,690,0,131020,0.6347826086956522,nan,0.8677530148068997
166,60610201043.0,187,0,5475,690,0,131020,0.2710144927536232,nan,0.04178751335673943
167,60610201041.0,667,0,0,667,0,0,1.0,nan,nan
168,60610201041.0,151,0,1403,170,0,1403,0.888235294117647,nan,1.0
168,60610201052.0,19,0,0,170,0,1403,0.11176470588235295,nan,0.0
169,60610201041.0,0,0,4608,25,0,7026,0.0,nan,0.6558497011101623
169,60610201043.0,23,0,2418,25,0,7026,0.92,nan,0.3441502988898377
169,60610201052.0,2,0,0,25,0,7026,0.08,nan,0.0
170,60610201043.0,41,0,0,41,0,0,1.0,nan,nan
171,60610201043.0,199,0,0,199,0,0,1.0,nan,nan
172,60610201043.0,0,0,0,0,0,0,nan,nan,nan
173,60610201043.0,109,21,4903,109,21,4903,1.0,1.0,1.0
173,60610222002.0,0,0,0,109,21,4903,0.0,0.0,0.0
174,60610201052.0,966,0,0,966,0,0,1.0,nan,nan
175,60610201051.0,21,0,0,23,0,0,0.9130434782608695,nan,nan
175,60610201052.0,2,0,0,23,0,0,0.08695652173913043,nan,nan
176,60610201051.0,40,8,31145,90,8,31145,0.4444444444444444,1.0,1.0
176,60610201052.0,50,0,0,90,8,31145,0.5555555555555556,0.0,0.0
177,60610201051.0,35,0,54695,35,0,54695,1.0,nan,1.0
178,60610201051.0,555,0,0,555,0,0,1.0,nan,nan
178,60610201061.0,0,0,0,555,0,0,0.0,nan,nan
179,60610201051.0,150,0,0,193,0,0,0.7772020725388601,nan,nan
179,60610201052.0,43,0,0,193,0,0,0.22279792746113988,nan,nan
179,60610201061.0,0,0,0,193,0,0,0.0,nan,nan
180,60610201061.0,121,0,0,121,0,0,1.0,nan,nan
181,60610201061.0,310,263,41655,528,284,45362,0.5871212121212122,0.926056338028169,0.9182796173008245
181,60610201062.0,218,21,3707,528,284,45362,0.4128787878787879,0.07394366197183098,0.08172038269917552
182,60610201062.0,243,55,50876,243,55,50876,1.0,1.0,1.0
183,60610201062.0,200,0,0,200,0,0,1.0,nan,nan
184,60610201061.0,57,0,0,94,0,0,0.6063829787234043,nan,nan
184,60610201062.0,37,0,0,94,0,0,0.39361702127659576,nan,nan
185,60610201061.0,0,0,8543,0,0,8543,nan,nan,1.0
186,60610201061.0,224,0,0,224,0,0,1.0,nan,nan
187,60610201062.0,0,0,0,0,0,0,nan,nan,nan
188,60610201062.0,424,0,0,439,0,0,0.9658314350797267,nan,nan
188,60610201071.0,15,0,0,439,0,0,0.03416856492027335,nan,nan
189,60610201062.0,5,0,0,104,150,44786,0.04807692307692308,0.0,0.0
189,60610201073.0,99,150,44786,104,150,44786,0.9519230769230769,1.0,1.0
190,60610201071.0,446,9,53500,1246,71,253800,0.3579454253611557,0.1267605633802817,0.210795902285264
190,60610201072.0,588,42,104077,1246,71,253800,0.47191011235955055,0.5915492957746479,0.4100748620961387
190,60610201073.0,212,20,96223,1246,71,253800,0.17014446227929375,0.28169014084507044,0.3791292356185973
191,60610201071.0,189,0,0,189,0,0,1.0,nan,nan
191,60610201073.0,0,0,0,189,0,0,0.0,nan,nan
192,60610201071.0,183,0,7949,183,0,7949,1.0,nan,1.0
192,320310033083.0,0,0,0,183,0,7949,0.0,nan,0.0
200,320050017002.0,0,1288,2730,0,1288,2730,nan,1.0,1.0
201,320050017002.0,0,154,0,0,154,0,nan,1.0,nan
202,320050018001.0,0,950,0,0,950,0,nan,1.0,nan
203,320050018001.0,5,0,0,5,0,0,1.0,nan,nan
204,320050018001.0,0,64,31745,0,64,31745,nan,1.0,1.0
205,320050017001.0,0,0,0,0,0,91446,nan,nan,0.0
205,320050018001.0,0,0,91446,0,0,91446,nan,nan,1.0
206,320050017001.0,0,0,0,242,123,57308,0.0,0.0,0.0
206,320050017002.0,242,123,57308,242,123,57308,1.0,1.0,1.0
207,320050018001.0,0,0,0,0,0,0,nan,nan,nan
208,320050018001.0,29,0,0,29,0,0,1.0,nan,nan
208,320050018002.0,0,0,0,29,0,0,0.0,nan,nan
209,320050018001.0,0,35,0,99,106,0,0.0,0.330188679245283,nan
209,320050018002.0,99,71,0,99,106,0,1.0,0.6698113207547169,nan
210,320050018002.0,63,669,10285,63,669,10285,1.0,1.0,1.0
211,320050018001.0,18,0,0,297,50,0,0.06060606060606061,0.0,nan
211,320050018002.0,279,50,0,297,50,0,0.9393939393939394,1.0,nan
212,320050018001.0,177,0,21435,177,0,21435,1.0,nan,1.0
213,320050018001.0,521,0,194030,521,0,194030,1.0,nan,1.0
214,320050017001.0,0,0,0,4,0,0,0.0,nan,nan
214,320050018001.0,4,0,0,4,0,0,1.0,nan,nan
215,320050018001.0,26,0,7513,72,0,26725,0.3611111111111111,nan,0.2811225444340505
215,320050018002.0,46,0,19212,72,0,26725,0.6388888888888888,nan,0.7188774555659495
216,320050018002.0,247,0,0,247,0,0,1.0,nan,nan
217,320050017001.0,0,0,49085,256,0,49085,0.0,nan,1.0
217,320050017002.0,256,0,0,256,0,49085,1.0,nan,0.0
218,320050017001.0,1,0,0,1,0,0,1.0,nan,nan
219,320050017001.0,193,110,3477,193,110,3477,1.0,1.0,1.0
220,320050016001.0,135,0,0,137,0,0,0.9854014598540146,nan,nan
220,320050017001.0,2,0,0,137,0,0,0.014598540145985401,nan,nan
221,320050017001.0,332,0,20415,332,0,20415,1.0,nan,1.0
222,320050017001.0,47,0,133861,47,0,133861,1.0,nan,1.0
223,320050016001.0,7,0,0,282,0,31114,0.024822695035460994,nan,0.0
223,320050017001.0,275,0,31114,282,0,31114,0.975177304964539,nan,1.0
224,320050016001.0,187,32,0,187,32,0,1.0,1.0,nan
225,320050016001.0,279,5,25396,279,5,25396,1.0,1.0,1.0
225,320050017001.0,0,0,0,279,5,25396,0.0,0.0,0.0
226,320050016001.0,0,0,0,0,0,0,nan,nan,nan
227,320050016002.0,0,0,0,0,0,0,nan,nan,nan
228,320050016002.0,0,0,0,0,0,0,nan,nan,nan
229,320050016002.0,338,0,0,338,0,0,1.0,nan,nan
230,320050016002.0,94,0,0,94,0,0,1.0,nan,nan
231,320050016002.0,141,0,4771,141,0,4771,1.0,nan,1.0
232,320050016002.0,23,0,0,23,0,0,1.0,nan,nan
233,320050016002.0,13,0,0,13,0,0,1.0,nan,nan
234,320050016002.0,2,0,0,2,0,0,1.0,nan,nan
235,320050016002.0,22,0,0,22,0,0,1.0,nan,nan
236,320050016002.0,2,0,0,2,0,0,1.0,nan,nan
237,320050016002.0,54,0,0,54,0,0,1.0,nan,nan
238,320050016002.0,0,0,0,0,0,0,nan,nan,nan
240,320050016002.0,237,0,0,237,0,0,1.0,nan,nan
241,320050016002.0,1,0,0,1,0,0,1.0,nan,nan
242,320050016002.0,64,0,0,64,0,0,1.0,nan,nan
243,320050016002.0,2,0,0,2,0,0,1.0,nan,nan
244,320050016002.0,0,0,0,0,0,0,nan,nan,nan
245,325100003002.0,1,0,0,1,0,0,1.0,nan,nan
246,325100003002.0,0,0,0,0,0,0,nan,nan,nan
247,325100003002.0,0,0,0,0,0,0,nan,nan,nan
248,325100003002.0,0,0,0,0,0,0,nan,nan,nan
249,325100003002.0,0,0,0,0,0,0,nan,nan,nan
250,325100003002.0,0,0,0,0,0,0,nan,nan,nan
251,325100003002.0,0,0,0,0,0,0,nan,nan,nan
252,320310033102.0,0,0,0,0,0,0,nan,nan,nan
253,320310033102.0,0,0,0,0,0,0,nan,nan,nan
254,320310033102.0,0,0,0,0,0,0,nan,nan,nan
258,320310033072.0,1,0,0,1,0,0,1.0,nan,nan
258,320310033102.0,0,0,0,1,0,0,0.0,nan,nan
259,320310033072.0,1,0,0,5,0,0,0.2,nan,nan
259,320310033102.0,4,0,0,5,0,0,0.8,nan,nan
260,320310033072.0,126,0,0,126,0,0,1.0,nan,nan
261,320310033072.0,388,38,54089,388,38,54089,1.0,1.0,1.0
262,320310033071.0,158,16,10284,158,16,10284,1.0,1.0,1.0
263,320310033062.0,0,0,0,0,6,0,nan,0.0,nan
263,320310033072.0,0,6,0,0,6,0,nan,1.0,nan
264,320310033062.0,4,0,0,218,476,11442,0.01834862385321101,0.0,0.0
264,320310033071.0,214,476,11442,218,476,11442,0.981651376146789,1.0,1.0
265,320310033071.0,14,0,228393,14,0,228393,1.0,nan,1.0
266,320310033102.0,1,0,135587,1,0,135587,1.0,nan,1.0
267,320310033101.0,0,0,0,562,0,53251,0.0,nan,0.0
267,320310033102.0,562,0,53251,562,0,53251,1.0,nan,1.0
268,320310033101.0,2,0,0,5,0,0,0.4,nan,nan
268,320310033102.0,3,0,0,5,0,0,0.6,nan,nan
269,320310033082.0,0,0,0,445,21,0,0.0,0.0,nan
269,320310033101.0,445,21,0,445,21,0,1.0,1.0,nan
270,320310033101.0,294,0,0,418,0,0,0.7033492822966507,nan,nan
270,320310033111.0,54,0,0,418,0,0,0.1291866028708134,nan,nan
270,320310033112.0,70,0,0,418,0,0,0.1674641148325359,nan,nan
271,320310033112.0,52,0,0,52,0,0,1.0,nan,nan
272,320310033112.0,168,0,155164,168,0,155164,1.0,nan,1.0
273,320310033112.0,468,93,8521,468,93,8521,1.0,1.0,1.0
274,320310033051.0,12,0,0,594,0,0,0.020202020202020204,nan,nan
274,320310033111.0,582,0,0,594,0,0,0.9797979797979798,nan,nan
275,320310033062.0,60,0,0,60,0,0,1.0,nan,nan
276,320310033062.0,634,0,3479,634,0,3479,1.0,nan,1.0
277,320310033061.0,52,0,73270,150,0,73270,0.3466666666666667,nan,1.0
277,320310033062.0,98,0,0,150,0,73270,0.6533333333333333,nan,0.0
278,320310033061.0,267,0,34910,287,0,34910,0.9303135888501742,nan,1.0
278,320310033062.0,20,0,0,287,0,34910,0.06968641114982578,nan,0.0
279,320310033061.0,112,0,147104,131,0,147104,0.8549618320610687,nan,1.0
279,320310033062.0,19,0,0,131,0,147104,0.1450381679389313,nan,0.0
280,320310033051.0,0,0,69383,2,0,69383,0.0,nan,1.0
280,320310033061.0,2,0,0,2,0,69383,1.0,nan,0.0
281,320310033051.0,129,0,10098,146,0,12222,0.8835616438356164,nan,0.8262150220913107
281,320310033061.0,17,0,2124,146,0,12222,0.11643835616438356,nan,0.17378497790868924
282,320310033051.0,261,0,18684,261,0,18684,1.0,nan,1.0
283,320310033051.0,306,0,0,306,0,0,1.0,nan,nan
284,320310033051.0,0,0,19497,0,0,19497,nan,nan,1.0
285,320310033082.0,0,0,0,0,0,0,nan,nan,nan
286,320310033082.0,183,0,0,183,0,0,1.0,nan,nan
287,320310033081.0,12,0,0,504,0,0,0.023809523809523808,nan,nan
287,320310033082.0,492,0,0,504,0,0,0.9761904761904762,nan,nan
288,320310033083.0,14,0,0,14,0,0,1.0,nan,nan
289,320310033061.0,26,0,0,98,0,10032,0.2653061224489796,nan,0.0
289,320310033083.0,72,0,10032,98,0,10032,0.7346938775510204,nan,1.0
290,320310033051.0,8,0,0,8,0,0,1.0,nan,nan
291,320310033081.0,545,0,0,686,0,0,0.7944606413994169,nan,nan
291,320310033082.0,79,0,0,686,0,0,0.1151603498542274,nan,nan
291,320310033083.0,62,0,0,686,0,0,0.09037900874635568,nan,nan
292,320310033081.0,3,0,0,10,0,0,0.3,nan,nan
292,320310033083.0,7,0,0,10,0,0,0.7,nan,nan
293,320310033083.0,137,0,0,137,0,0,1.0,nan,nan
294,320310033083.0,183,0,0,183,0,0,1.0,nan,nan
295,320310033083.0,15,104,146525,15,104,146525,1.0,1.0,1.0
296,320310033083.0,79,19,12328,79,19,12328,1.0,1.0,1.0
297,320310033083.0,9,186,0,9,186,0,1.0,1.0,nan
